アイドル名,声優名,事務所,事務所ユニット,作品名
信玄誠司,増元拓也,315プロ,,THE IDOLM@STER SideM
紅井朱雀,益山武明,315プロ,,THE IDOLM@STER SideM
黒野玄武,深町寿成,315プロ,,THE IDOLM@STER SideM
神谷幸広,狩野翔,315プロ,,THE IDOLM@STER SideM
東雲荘一郎,天崎滉平,315プロ,,THE IDOLM@STER SideM
アスラン=BBⅡ世,古川慎,315プロ,,THE IDOLM@STER SideM
卯月巻緒,児玉卓也,315プロ,,THE IDOLM@STER SideM
水嶋咲,小林大紀,315プロ,,THE IDOLM@STER SideM
神楽麗,永野由祐,315プロ,,THE IDOLM@STER SideM
都筑圭,土岐隼一,315プロ,,THE IDOLM@STER SideM
大河タケル,寺島惇太,315プロ,,THE IDOLM@STER SideM
牙崎漣,小松昌平,315プロ,,THE IDOLM@STER SideM
円城寺道流,濱野大輝,315プロ,,THE IDOLM@STER SideM
岡村直央,矢野奨吾,315プロ,,THE IDOLM@STER SideM
橘志狼,古畑恵介,315プロ,,THE IDOLM@STER SideM
姫野かのん,村瀬歩,315プロ,,THE IDOLM@STER SideM
秋月涼,三瓶由布子,315プロ,,THE IDOLM@STER SideM
兜大吾,浦尾岳大,315プロ,,THE IDOLM@STER SideM
九十九一希,徳武竜也,315プロ,,THE IDOLM@STER SideM
葛之葉雨彦,笠間淳,315プロ,,THE IDOLM@STER SideM
北村想楽,汐谷文康,315プロ,,THE IDOLM@STER SideM
古論クリス,駒田航,315プロ,,THE IDOLM@STER SideM
櫻木真乃,関根瞳,283プロ,,THE IDOLM@STER Shiny Colors
風野灯織,近藤玲奈,283プロ,,THE IDOLM@STER Shiny Colors
八宮めぐる,峯田茉優,283プロ,,THE IDOLM@STER Shiny Colors
月岡恋鐘,礒部花凛,283プロ,,THE IDOLM@STER Shiny Colors
田中摩美々,菅沼千紗,283プロ,,THE IDOLM@STER Shiny Colors
三峰結華,成海瑠奈,283プロ,,THE IDOLM@STER Shiny Colors
白瀬咲耶,八巻アンナ,283プロ,,THE IDOLM@STER Shiny Colors
幽谷霧子,結名美月,283プロ,,THE IDOLM@STER Shiny Colors
大崎甘奈,黒木ほの香,283プロ,,THE IDOLM@STER Shiny Colors
桑山千雪,芝崎典子,283プロ,,THE IDOLM@STER Shiny Colors
大崎甜花,前川涼子,283プロ,,THE IDOLM@STER Shiny Colors
小宮果穂,河野ひより,283プロ,,THE IDOLM@STER Shiny Colors
園田智代子,白石晴香,283プロ,,THE IDOLM@STER Shiny Colors
有栖川夏葉,涼本あきほ,283プロ,,THE IDOLM@STER Shiny Colors
西城樹里,永井真里子,283プロ,,THE IDOLM@STER Shiny Colors
杜野凛世,丸岡和佳奈,283プロ,,THE IDOLM@STER Shiny Colors
